Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DatosEnExcel,Chrome 113.0.0.0,,,2023-05-23 17:54:45,2023-05-23 17:57:00,"2m - 15,547s",PASSED
,,,,,,,
Test Cases/CursoKatalon/Variables_simples,Chrome 113.0.0.0,,,2023-05-23 17:54:46,2023-05-23 17:55:21,"34,266s",PASSED
Start listener action : executeRows,Chrome 113.0.0.0,,,2023-05-23 17:54:46,2023-05-23 17:54:48,"1,524s",PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-23 17:54:51,2023-05-23 17:54:58,"7,070s",PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-23 17:54:58,2023-05-23 17:54:59,"0,265s",PASSED
"navigateToUrl(""https://demoqa.com/webtables"")",Chrome 113.0.0.0,,,2023-05-23 17:54:59,2023-05-23 17:55:02,"3,127s",PASSED
"click(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/button_Add""))",Chrome 113.0.0.0,,,2023-05-23 17:55:02,2023-05-23 17:55:03,"1,339s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_First Name_firstName""), Nombre)",Chrome 113.0.0.0,,,2023-05-23 17:55:03,2023-05-23 17:55:05,"1,856s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Last Name_lastName""), Apellido)",Chrome 113.0.0.0,,,2023-05-23 17:55:05,2023-05-23 17:55:06,"1,209s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Email_userEmail""), Email)",Chrome 113.0.0.0,,,2023-05-23 17:55:06,2023-05-23 17:55:08,"1,366s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Age_age""), Edad)",Chrome 113.0.0.0,,,2023-05-23 17:55:08,2023-05-23 17:55:09,"1,319s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Salary_salary""), Salario)",Chrome 113.0.0.0,,,2023-05-23 17:55:09,2023-05-23 17:55:10,"1,356s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Department_department""), Departamento)",Chrome 113.0.0.0,,,2023-05-23 17:55:10,2023-05-23 17:55:12,"1,317s",PASSED
"click(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/button_Submit""))",Chrome 113.0.0.0,,,2023-05-23 17:55:12,2023-05-23 17:55:12,"0,931s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Add_searchBox""), TextoaBuscar)",Chrome 113.0.0.0,,,2023-05-23 17:55:12,2023-05-23 17:55:14,"1,788s",PASSED
"click(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/svg""))",Chrome 113.0.0.0,,,2023-05-23 17:55:14,2023-05-23 17:55:15,"0,708s",PASSED
"textoBuscado = getText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/div_alejandro""), CONTINUE_ON_FAILURE)",Chrome 113.0.0.0,,,2023-05-23 17:55:15,2023-05-23 17:55:16,"0,958s",PASSED
delay(DelayCorto),Chrome 113.0.0.0,,,2023-05-23 17:55:16,2023-05-23 17:55:17,"1,392s",PASSED
"verifyMatch(TextoaBuscar, TextoaBuscar, true)",Chrome 113.0.0.0,,,2023-05-23 17:55:17,2023-05-23 17:55:17,"0,065s",PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-23 17:55:17,2023-05-23 17:55:18,"1,016s",PASSED
Start listener action : sampleAfterTestCase,Chrome 113.0.0.0,,,2023-05-23 17:55:18,2023-05-23 17:55:18,"0,001s",PASSED
Start listener action : addFailedTCToList,Chrome 113.0.0.0,,,2023-05-23 17:55:18,2023-05-23 17:55:18,"0,007s",PASSED
Video,Chrome 113.0.0.0,,,2023-05-23 17:55:21,2023-05-23 17:55:21,"0,001s",PASSED
,,,,,,,
Test Cases/CursoKatalon/Variables_simples,Chrome 113.0.0.0,,,2023-05-23 17:55:21,2023-05-23 17:55:44,"22,990s",PASSED
Start listener action : executeRows,Chrome 113.0.0.0,,,2023-05-23 17:55:21,2023-05-23 17:55:21,"0,119s",PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-23 17:55:21,2023-05-23 17:55:23,"2,374s",PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-23 17:55:23,2023-05-23 17:55:24,"0,183s",PASSED
"navigateToUrl(""https://demoqa.com/webtables"")",Chrome 113.0.0.0,,,2023-05-23 17:55:24,2023-05-23 17:55:26,"2,771s",PASSED
"click(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/button_Add""))",Chrome 113.0.0.0,,,2023-05-23 17:55:26,2023-05-23 17:55:28,"1,278s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_First Name_firstName""), Nombre)",Chrome 113.0.0.0,,,2023-05-23 17:55:28,2023-05-23 17:55:29,"1,673s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Last Name_lastName""), Apellido)",Chrome 113.0.0.0,,,2023-05-23 17:55:29,2023-05-23 17:55:31,"1,288s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Email_userEmail""), Email)",Chrome 113.0.0.0,,,2023-05-23 17:55:31,2023-05-23 17:55:32,"1,313s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Age_age""), Edad)",Chrome 113.0.0.0,,,2023-05-23 17:55:32,2023-05-23 17:55:33,"1,286s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Salary_salary""), Salario)",Chrome 113.0.0.0,,,2023-05-23 17:55:33,2023-05-23 17:55:34,"1,252s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Department_department""), Departamento)",Chrome 113.0.0.0,,,2023-05-23 17:55:34,2023-05-23 17:55:36,"1,268s",PASSED
"click(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/button_Submit""))",Chrome 113.0.0.0,,,2023-05-23 17:55:36,2023-05-23 17:55:37,"1,011s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Add_searchBox""), TextoaBuscar)",Chrome 113.0.0.0,,,2023-05-23 17:55:37,2023-05-23 17:55:38,"1,513s",PASSED
"click(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/svg""))",Chrome 113.0.0.0,,,2023-05-23 17:55:38,2023-05-23 17:55:39,"0,808s",PASSED
"textoBuscado = getText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/div_alejandro""), CONTINUE_ON_FAILURE)",Chrome 113.0.0.0,,,2023-05-23 17:55:39,2023-05-23 17:55:40,"0,680s",PASSED
delay(DelayCorto),Chrome 113.0.0.0,,,2023-05-23 17:55:40,2023-05-23 17:55:41,"1,025s",PASSED
"verifyMatch(TextoaBuscar, TextoaBuscar, true)",Chrome 113.0.0.0,,,2023-05-23 17:55:41,2023-05-23 17:55:41,"0,005s",PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-23 17:55:41,2023-05-23 17:55:42,"0,977s",PASSED
Start listener action : sampleAfterTestCase,Chrome 113.0.0.0,,,2023-05-23 17:55:42,2023-05-23 17:55:42,"0,000s",PASSED
Start listener action : addFailedTCToList,Chrome 113.0.0.0,,,2023-05-23 17:55:42,2023-05-23 17:55:42,"0,001s",PASSED
Video,Chrome 113.0.0.0,,,2023-05-23 17:55:44,2023-05-23 17:55:44,"0,001s",PASSED
,,,,,,,
Test Cases/CursoKatalon/Variables_simples,Chrome 113.0.0.0,,,2023-05-23 17:55:44,2023-05-23 17:56:13,"28,763s",PASSED
Start listener action : executeRows,Chrome 113.0.0.0,,,2023-05-23 17:55:44,2023-05-23 17:55:44,"0,135s",PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-23 17:55:44,2023-05-23 17:55:47,"2,362s",PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-23 17:55:47,2023-05-23 17:55:47,"0,150s",PASSED
"navigateToUrl(""https://demoqa.com/webtables"")",Chrome 113.0.0.0,,,2023-05-23 17:55:47,2023-05-23 17:55:49,"2,392s",PASSED
"click(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/button_Add""))",Chrome 113.0.0.0,,,2023-05-23 17:55:49,2023-05-23 17:55:59,"9,555s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_First Name_firstName""), Nombre)",Chrome 113.0.0.0,,,2023-05-23 17:55:59,2023-05-23 17:56:00,"1,328s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Last Name_lastName""), Apellido)",Chrome 113.0.0.0,,,2023-05-23 17:56:00,2023-05-23 17:56:01,"1,067s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Email_userEmail""), Email)",Chrome 113.0.0.0,,,2023-05-23 17:56:01,2023-05-23 17:56:02,"1,076s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Age_age""), Edad)",Chrome 113.0.0.0,,,2023-05-23 17:56:02,2023-05-23 17:56:04,"1,232s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Salary_salary""), Salario)",Chrome 113.0.0.0,,,2023-05-23 17:56:04,2023-05-23 17:56:05,"1,123s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Department_department""), Departamento)",Chrome 113.0.0.0,,,2023-05-23 17:56:05,2023-05-23 17:56:06,"1,251s",PASSED
"click(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/button_Submit""))",Chrome 113.0.0.0,,,2023-05-23 17:56:06,2023-05-23 17:56:07,"0,634s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Add_searchBox""), TextoaBuscar)",Chrome 113.0.0.0,,,2023-05-23 17:56:07,2023-05-23 17:56:08,"1,295s",PASSED
"click(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/svg""))",Chrome 113.0.0.0,,,2023-05-23 17:56:08,2023-05-23 17:56:08,"0,499s",PASSED
"textoBuscado = getText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/div_alejandro""), CONTINUE_ON_FAILURE)",Chrome 113.0.0.0,,,2023-05-23 17:56:08,2023-05-23 17:56:09,"0,568s",PASSED
delay(DelayCorto),Chrome 113.0.0.0,,,2023-05-23 17:56:09,2023-05-23 17:56:10,"1,009s",PASSED
"verifyMatch(TextoaBuscar, TextoaBuscar, true)",Chrome 113.0.0.0,,,2023-05-23 17:56:10,2023-05-23 17:56:10,"0,005s",PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-23 17:56:10,2023-05-23 17:56:11,"0,986s",PASSED
Start listener action : sampleAfterTestCase,Chrome 113.0.0.0,,,2023-05-23 17:56:11,2023-05-23 17:56:11,"0,001s",PASSED
Start listener action : addFailedTCToList,Chrome 113.0.0.0,,,2023-05-23 17:56:11,2023-05-23 17:56:11,"0,000s",PASSED
Video,Chrome 113.0.0.0,,,2023-05-23 17:56:13,2023-05-23 17:56:13,"0,001s",PASSED
,,,,,,,
Test Cases/CursoKatalon/Variables_simples,Chrome 113.0.0.0,,,2023-05-23 17:56:13,2023-05-23 17:56:36,"22,773s",PASSED
Start listener action : executeRows,Chrome 113.0.0.0,,,2023-05-23 17:56:13,2023-05-23 17:56:14,"0,152s",PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-23 17:56:14,2023-05-23 17:56:16,"2,335s",PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-23 17:56:16,2023-05-23 17:56:16,"0,155s",PASSED
"navigateToUrl(""https://demoqa.com/webtables"")",Chrome 113.0.0.0,,,2023-05-23 17:56:16,2023-05-23 17:56:19,"2,846s",PASSED
"click(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/button_Add""))",Chrome 113.0.0.0,,,2023-05-23 17:56:19,2023-05-23 17:56:20,"0,956s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_First Name_firstName""), Nombre)",Chrome 113.0.0.0,,,2023-05-23 17:56:20,2023-05-23 17:56:21,"1,313s",PASSED
