Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SuitesProblemasAuto,,,,2023-05-23 14:31:59,2023-05-23 14:36:15,"4m - 16,355s",ERROR
,,,,,,,
Test Cases/SolucionEnscriptsIndividuales/ClickEnElemento,,,,2023-05-23 14:32:22,2023-05-23 14:33:22,"59,505s",FAILED
Start listener action : executeRows,,,,2023-05-23 14:32:22,2023-05-23 14:32:25,"2,327s",PASSED
"openBrowser("""")",,,,2023-05-23 14:32:41,2023-05-23 14:33:18,"36,654s",FAILED
Start listener action : sampleAfterTestCase,,,,2023-05-23 14:33:20,2023-05-23 14:33:21,"0,899s",PASSED
Start listener action : addFailedTCToList,,,,2023-05-23 14:33:21,2023-05-23 14:33:21,"0,136s",PASSED
,,,,,,,
Test Cases/SolucionEnscriptsIndividuales/EscribirEnElemento,,,,2023-05-23 14:33:22,2023-05-23 14:33:55,"32,851s",FAILED
Start listener action : executeRows,,,,2023-05-23 14:33:22,2023-05-23 14:33:22,"0,004s",PASSED
"comment(""Practica nivel 2"")",,,,2023-05-23 14:33:43,2023-05-23 14:33:47,"3,562s",PASSED
"setText(findTestObject(""AllTestLevel/Textbox_nivel2""), ""selenium"")",,,,2023-05-23 14:33:47,2023-05-23 14:33:54,"7,907s",FAILED
Start listener action : sampleAfterTestCase,,,,2023-05-23 14:33:55,2023-05-23 14:33:55,"0,049s",PASSED
Start listener action : addFailedTCToList,,,,2023-05-23 14:33:55,2023-05-23 14:33:55,"0,109s",PASSED
,,,,,,,
Test Cases/SolucionEnscriptsIndividuales/ObtenerTextoDeElemento,,,,2023-05-23 14:33:55,2023-05-23 14:34:09,"13,906s",FAILED
Start listener action : executeRows,,,,2023-05-23 14:33:55,2023-05-23 14:33:55,"0,009s",PASSED
"comment(""Pratica nivel 3"")",,,,2023-05-23 14:34:06,2023-05-23 14:34:06,"0,141s",PASSED
"Texto_label = getText(findTestObject(""AllTestLevel/Label_nivel3""))",,,,2023-05-23 14:34:06,2023-05-23 14:34:09,"3,251s",FAILED
Start listener action : sampleAfterTestCase,,,,2023-05-23 14:34:09,2023-05-23 14:34:09,"0,005s",PASSED
Start listener action : addFailedTCToList,,,,2023-05-23 14:34:09,2023-05-23 14:34:09,"0,025s",PASSED
,,,,,,,
Test Cases/SolucionEnscriptsIndividuales/ClickEnMultiplesElementos,,,,2023-05-23 14:34:09,2023-05-23 14:34:54,"44,790s",FAILED
Start listener action : executeRows,,,,2023-05-23 14:34:09,2023-05-23 14:34:09,"0,006s",PASSED
"comment(""Practica nivel 4"")",,,,2023-05-23 14:34:29,2023-05-23 14:34:30,"1,730s",PASSED
"waitForElementClickable(findTestObject(""AllTestLevel/Boton1_nivel4""), DelayCorto)",,,,2023-05-23 14:34:30,2023-05-23 14:34:53,"23,104s",FAILED
Start listener action : sampleAfterTestCase,,,,2023-05-23 14:34:54,2023-05-23 14:34:54,"0,031s",PASSED
Start listener action : addFailedTCToList,,,,2023-05-23 14:34:54,2023-05-23 14:34:54,"0,077s",PASSED
,,,,,,,
Test Cases/SolucionEnscriptsIndividuales/ClickEnEnlace,,,,2023-05-23 14:34:55,2023-05-23 14:35:15,"20,858s",FAILED
Start listener action : executeRows,,,,2023-05-23 14:34:55,2023-05-23 14:34:55,"0,013s",PASSED
