Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suites_Curso_Katalon_parte1,Chrome 113.0.0.0,,,2023-05-23 14:30:22,2023-05-23 14:44:27,"14m - 4,640s",FAILED
,,,,,,,
Test Cases/CursoKatalon/AccionesconElRaton,Chrome 113.0.0.0,,,2023-05-23 14:30:27,2023-05-23 14:37:33,"7m - 5,546s",FAILED
Start listener action : executeRows,Chrome 113.0.0.0,,,2023-05-23 14:30:27,2023-05-23 14:30:28,"0,269s",PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-23 14:30:35,2023-05-23 14:32:02,"1m - 26,658s",PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-23 14:32:02,2023-05-23 14:32:06,"4,751s",PASSED
"navigateToUrl(""https://pruebasqafenix.com/"")",Chrome 113.0.0.0,,,2023-05-23 14:32:06,2023-05-23 14:32:39,"32,557s",PASSED
"click(findTestObject(""AccionesConElRaton/AceptarCookie""))",Chrome 113.0.0.0,,,2023-05-23 14:32:39,2023-05-23 14:33:03,"23,599s",PASSED
"focus(findTestObject(""AccionesConElRaton/Productos""))",Chrome 113.0.0.0,,,2023-05-23 14:33:03,2023-05-23 14:33:36,"33,357s",PASSED
delay(3),Chrome 113.0.0.0,,,2023-05-23 14:33:36,2023-05-23 14:33:42,"5,894s",PASSED
"mouseOver(findTestObject(""AccionesConElRaton/Categorias""))",Chrome 113.0.0.0,,,2023-05-23 14:33:42,2023-05-23 14:34:44,"1m - 2,393s",PASSED
delay(3),Chrome 113.0.0.0,,,2023-05-23 14:34:44,2023-05-23 14:34:50,"5,934s",PASSED
"mouseOver(findTestObject(""AccionesConElRaton/Productos""))",Chrome 113.0.0.0,,,2023-05-23 14:34:50,2023-05-23 14:35:44,"53,658s",PASSED
"waitForElementVisible(findTestObject(""AccionesConElRaton/Productos en Stock""), 5)",Chrome 113.0.0.0,,,2023-05-23 14:35:44,2023-05-23 14:36:25,"40,900s",PASSED
"click(findTestObject(""AccionesConElRaton/Productos en Stock""))",Chrome 113.0.0.0,,,2023-05-23 14:36:25,2023-05-23 14:37:32,"1m - 7,229s",FAILED
Start listener action : sampleAfterTestCase,Chrome 113.0.0.0,,,2023-05-23 14:37:32,2023-05-23 14:37:33,"0,352s",PASSED
Start listener action : addFailedTCToList,Chrome 113.0.0.0,,,2023-05-23 14:37:33,2023-05-23 14:37:33,"0,138s",PASSED
,,,,,,,
Test Cases/CursoKatalon/Doble_click,Chrome 113.0.0.0,,,2023-05-23 14:37:34,2023-05-23 14:42:01,"4m - 26,655s",PASSED
Start listener action : executeRows,Chrome 113.0.0.0,,,2023-05-23 14:37:36,2023-05-23 14:37:36,"0,005s",PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-23 14:37:43,2023-05-23 14:41:33,"3m - 50,087s",PASSED
"navigateToUrl(""https://demos.telerik.com/aspnet-ajax/treeview/examples/overview/defaultcs.aspx"")",Chrome 113.0.0.0,,,2023-05-23 14:41:33,2023-05-23 14:41:35,"2,422s",PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-23 14:41:35,2023-05-23 14:41:36,"0,634s",PASSED
"click(findTestObject(""Doble_click/Page_Telerik Web UI TreeView WebForms TreeV_78f562/button_Accept and Close""))",Chrome 113.0.0.0,,,2023-05-23 14:41:36,2023-05-23 14:41:44,"8,041s",PASSED
waitForPageLoad(60),Chrome 113.0.0.0,,,2023-05-23 14:41:44,2023-05-23 14:41:45,"1,320s",PASSED
