Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DatosEnExcel,Firefox 113.0,,,2023-05-23 17:51:40,2023-05-23 17:54:23,"2m - 43,054s",PASSED
,,,,,,,
Test Cases/CursoKatalon/Variables_simples,Firefox 113.0,,,2023-05-23 17:51:42,2023-05-23 17:52:32,"50,167s",PASSED
Start listener action : executeRows,Firefox 113.0,,,2023-05-23 17:51:42,2023-05-23 17:51:44,"1,594s",PASSED
"openBrowser("""")",Firefox 113.0,,,2023-05-23 17:51:47,2023-05-23 17:52:03,"15,679s",PASSED
maximizeWindow(),Firefox 113.0,,,2023-05-23 17:52:03,2023-05-23 17:52:04,"0,448s",PASSED
"navigateToUrl(""https://demoqa.com/webtables"")",Firefox 113.0,,,2023-05-23 17:52:04,2023-05-23 17:52:09,"5,450s",PASSED
"click(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/button_Add""))",Firefox 113.0,,,2023-05-23 17:52:09,2023-05-23 17:52:14,"5,222s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_First Name_firstName""), Nombre)",Firefox 113.0,,,2023-05-23 17:52:14,2023-05-23 17:52:17,"2,926s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Last Name_lastName""), Apellido)",Firefox 113.0,,,2023-05-23 17:52:17,2023-05-23 17:52:18,"1,001s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Email_userEmail""), Email)",Firefox 113.0,,,2023-05-23 17:52:18,2023-05-23 17:52:19,"1,063s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Age_age""), Edad)",Firefox 113.0,,,2023-05-23 17:52:19,2023-05-23 17:52:20,"1,001s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Salary_salary""), Salario)",Firefox 113.0,,,2023-05-23 17:52:20,2023-05-23 17:52:21,"1,015s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Department_department""), Departamento)",Firefox 113.0,,,2023-05-23 17:52:21,2023-05-23 17:52:22,"0,950s",PASSED
"click(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/button_Submit""))",Firefox 113.0,,,2023-05-23 17:52:22,2023-05-23 17:52:23,"0,885s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Add_searchBox""), TextoaBuscar)",Firefox 113.0,,,2023-05-23 17:52:23,2023-05-23 17:52:24,"1,023s",PASSED
"click(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/svg""))",Firefox 113.0,,,2023-05-23 17:52:24,2023-05-23 17:52:25,"0,858s",PASSED
"textoBuscado = getText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/div_alejandro""), CONTINUE_ON_FAILURE)",Firefox 113.0,,,2023-05-23 17:52:25,2023-05-23 17:52:26,"0,693s",PASSED
delay(DelayCorto),Firefox 113.0,,,2023-05-23 17:52:26,2023-05-23 17:52:27,"1,634s",PASSED
"verifyMatch(TextoaBuscar, TextoaBuscar, true)",Firefox 113.0,,,2023-05-23 17:52:27,2023-05-23 17:52:27,"0,051s",PASSED
closeBrowser(),Firefox 113.0,,,2023-05-23 17:52:27,2023-05-23 17:52:30,"2,563s",PASSED
Start listener action : sampleAfterTestCase,Firefox 113.0,,,2023-05-23 17:52:30,2023-05-23 17:52:30,"0,015s",PASSED
Start listener action : addFailedTCToList,Firefox 113.0,,,2023-05-23 17:52:30,2023-05-23 17:52:30,"0,026s",PASSED
Video,Firefox 113.0,,,2023-05-23 17:52:32,2023-05-23 17:52:32,"0,001s",PASSED
,,,,,,,
Test Cases/CursoKatalon/Variables_simples,Firefox 113.0,,,2023-05-23 17:52:33,2023-05-23 17:52:59,"26,901s",PASSED
Start listener action : executeRows,Firefox 113.0,,,2023-05-23 17:52:33,2023-05-23 17:52:33,"0,205s",PASSED
"openBrowser("""")",Firefox 113.0,,,2023-05-23 17:52:33,2023-05-23 17:52:40,"6,819s",PASSED
maximizeWindow(),Firefox 113.0,,,2023-05-23 17:52:40,2023-05-23 17:52:40,"0,046s",PASSED
"navigateToUrl(""https://demoqa.com/webtables"")",Firefox 113.0,,,2023-05-23 17:52:40,2023-05-23 17:52:43,"3,519s",PASSED
"click(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/button_Add""))",Firefox 113.0,,,2023-05-23 17:52:43,2023-05-23 17:52:46,"2,321s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_First Name_firstName""), Nombre)",Firefox 113.0,,,2023-05-23 17:52:46,2023-05-23 17:52:47,"1,439s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Last Name_lastName""), Apellido)",Firefox 113.0,,,2023-05-23 17:52:47,2023-05-23 17:52:48,"0,864s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Email_userEmail""), Email)",Firefox 113.0,,,2023-05-23 17:52:48,2023-05-23 17:52:49,"0,959s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Age_age""), Edad)",Firefox 113.0,,,2023-05-23 17:52:49,2023-05-23 17:52:50,"0,950s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Salary_salary""), Salario)",Firefox 113.0,,,2023-05-23 17:52:50,2023-05-23 17:52:51,"0,966s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Department_department""), Departamento)",Firefox 113.0,,,2023-05-23 17:52:51,2023-05-23 17:52:52,"0,860s",PASSED
"click(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/button_Submit""))",Firefox 113.0,,,2023-05-23 17:52:52,2023-05-23 17:52:52,"0,822s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Add_searchBox""), TextoaBuscar)",Firefox 113.0,,,2023-05-23 17:52:52,2023-05-23 17:52:53,"0,997s",PASSED
"click(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/svg""))",Firefox 113.0,,,2023-05-23 17:52:53,2023-05-23 17:52:54,"0,866s",PASSED
"textoBuscado = getText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/div_alejandro""), CONTINUE_ON_FAILURE)",Firefox 113.0,,,2023-05-23 17:52:54,2023-05-23 17:52:55,"0,538s",PASSED
delay(DelayCorto),Firefox 113.0,,,2023-05-23 17:52:55,2023-05-23 17:52:56,"1,009s",PASSED
"verifyMatch(TextoaBuscar, TextoaBuscar, true)",Firefox 113.0,,,2023-05-23 17:52:56,2023-05-23 17:52:56,"0,014s",PASSED
closeBrowser(),Firefox 113.0,,,2023-05-23 17:52:56,2023-05-23 17:52:57,"1,508s",PASSED
Start listener action : sampleAfterTestCase,Firefox 113.0,,,2023-05-23 17:52:57,2023-05-23 17:52:57,"0,007s",PASSED
Start listener action : addFailedTCToList,Firefox 113.0,,,2023-05-23 17:52:57,2023-05-23 17:52:57,"0,010s",PASSED
Video,Firefox 113.0,,,2023-05-23 17:52:59,2023-05-23 17:52:59,"0,001s",PASSED
,,,,,,,
Test Cases/CursoKatalon/Variables_simples,Firefox 113.0,,,2023-05-23 17:53:00,2023-05-23 17:53:34,"33,926s",PASSED
Start listener action : executeRows,Firefox 113.0,,,2023-05-23 17:53:00,2023-05-23 17:53:00,"0,196s",PASSED
"openBrowser("""")",Firefox 113.0,,,2023-05-23 17:53:00,2023-05-23 17:53:06,"6,204s",PASSED
maximizeWindow(),Firefox 113.0,,,2023-05-23 17:53:06,2023-05-23 17:53:06,"0,042s",PASSED
"navigateToUrl(""https://demoqa.com/webtables"")",Firefox 113.0,,,2023-05-23 17:53:06,2023-05-23 17:53:09,"2,719s",PASSED
"click(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/button_Add""))",Firefox 113.0,,,2023-05-23 17:53:09,2023-05-23 17:53:19,"9,625s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_First Name_firstName""), Nombre)",Firefox 113.0,,,2023-05-23 17:53:19,2023-05-23 17:53:20,"1,280s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Last Name_lastName""), Apellido)",Firefox 113.0,,,2023-05-23 17:53:20,2023-05-23 17:53:21,"1,034s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Email_userEmail""), Email)",Firefox 113.0,,,2023-05-23 17:53:21,2023-05-23 17:53:22,"1,067s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Age_age""), Edad)",Firefox 113.0,,,2023-05-23 17:53:22,2023-05-23 17:53:23,"0,943s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Salary_salary""), Salario)",Firefox 113.0,,,2023-05-23 17:53:23,2023-05-23 17:53:24,"1,279s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Department_department""), Departamento)",Firefox 113.0,,,2023-05-23 17:53:24,2023-05-23 17:53:26,"1,266s",PASSED
"click(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/button_Submit""))",Firefox 113.0,,,2023-05-23 17:53:26,2023-05-23 17:53:27,"0,943s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Add_searchBox""), TextoaBuscar)",Firefox 113.0,,,2023-05-23 17:53:27,2023-05-23 17:53:28,"1,236s",PASSED
"click(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/svg""))",Firefox 113.0,,,2023-05-23 17:53:28,2023-05-23 17:53:29,"0,815s",PASSED
"textoBuscado = getText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/div_alejandro""), CONTINUE_ON_FAILURE)",Firefox 113.0,,,2023-05-23 17:53:29,2023-05-23 17:53:29,"0,558s",PASSED
delay(DelayCorto),Firefox 113.0,,,2023-05-23 17:53:29,2023-05-23 17:53:30,"1,019s",PASSED
"verifyMatch(TextoaBuscar, TextoaBuscar, true)",Firefox 113.0,,,2023-05-23 17:53:30,2023-05-23 17:53:30,"0,006s",PASSED
closeBrowser(),Firefox 113.0,,,2023-05-23 17:53:30,2023-05-23 17:53:32,"1,511s",PASSED
Start listener action : sampleAfterTestCase,Firefox 113.0,,,2023-05-23 17:53:32,2023-05-23 17:53:32,"0,000s",PASSED
Start listener action : addFailedTCToList,Firefox 113.0,,,2023-05-23 17:53:32,2023-05-23 17:53:32,"0,002s",PASSED
Video,Firefox 113.0,,,2023-05-23 17:53:34,2023-05-23 17:53:34,"0,001s",PASSED
,,,,,,,
Test Cases/CursoKatalon/Variables_simples,Firefox 113.0,,,2023-05-23 17:53:34,2023-05-23 17:53:59,"24,864s",PASSED
Start listener action : executeRows,Firefox 113.0,,,2023-05-23 17:53:34,2023-05-23 17:53:34,"0,162s",PASSED
"openBrowser("""")",Firefox 113.0,,,2023-05-23 17:53:34,2023-05-23 17:53:40,"5,775s",PASSED
maximizeWindow(),Firefox 113.0,,,2023-05-23 17:53:40,2023-05-23 17:53:40,"0,032s",PASSED
"navigateToUrl(""https://demoqa.com/webtables"")",Firefox 113.0,,,2023-05-23 17:53:40,2023-05-23 17:53:43,"3,191s",PASSED
"click(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/button_Add""))",Firefox 113.0,,,2023-05-23 17:53:43,2023-05-23 17:53:45,"1,479s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_First Name_firstName""), Nombre)",Firefox 113.0,,,2023-05-23 17:53:45,2023-05-23 17:53:46,"1,356s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Last Name_lastName""), Apellido)",Firefox 113.0,,,2023-05-23 17:53:46,2023-05-23 17:53:47,"0,878s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Email_userEmail""), Email)",Firefox 113.0,,,2023-05-23 17:53:47,2023-05-23 17:53:48,"0,957s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Age_age""), Edad)",Firefox 113.0,,,2023-05-23 17:53:48,2023-05-23 17:53:49,"0,924s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Salary_salary""), Salario)",Firefox 113.0,,,2023-05-23 17:53:49,2023-05-23 17:53:50,"1,028s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Department_department""), Departamento)",Firefox 113.0,,,2023-05-23 17:53:50,2023-05-23 17:53:51,"1,157s",PASSED
"click(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/button_Submit""))",Firefox 113.0,,,2023-05-23 17:53:51,2023-05-23 17:53:52,"0,843s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Add_searchBox""), TextoaBuscar)",Firefox 113.0,,,2023-05-23 17:53:52,2023-05-23 17:53:53,"0,986s",PASSED
"click(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/svg""))",Firefox 113.0,,,2023-05-23 17:53:53,2023-05-23 17:53:54,"0,746s",PASSED
"textoBuscado = getText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/div_alejandro""), CONTINUE_ON_FAILURE)",Firefox 113.0,,,2023-05-23 17:53:54,2023-05-23 17:53:54,"0,484s",PASSED
delay(DelayCorto),Firefox 113.0,,,2023-05-23 17:53:54,2023-05-23 17:53:55,"1,029s",PASSED
"verifyMatch(TextoaBuscar, TextoaBuscar, true)",Firefox 113.0,,,2023-05-23 17:53:55,2023-05-23 17:53:55,"0,014s",PASSED
closeBrowser(),Firefox 113.0,,,2023-05-23 17:53:55,2023-05-23 17:53:57,"1,713s",PASSED
Start listener action : sampleAfterTestCase,Firefox 113.0,,,2023-05-23 17:53:57,2023-05-23 17:53:57,"0,000s",PASSED
Start listener action : addFailedTCToList,Firefox 113.0,,,2023-05-23 17:53:57,2023-05-23 17:53:57,"0,001s",PASSED
Video,Firefox 113.0,,,2023-05-23 17:53:59,2023-05-23 17:53:59,"0,001s",PASSED
,,,,,,,
Test Cases/CursoKatalon/Variables_simples,Firefox 113.0,,,2023-05-23 17:53:59,2023-05-23 17:54:23,"24,015s",PASSED
Start listener action : executeRows,Firefox 113.0,,,2023-05-23 17:53:59,2023-05-23 17:54:00,"0,099s",PASSED
"openBrowser("""")",Firefox 113.0,,,2023-05-23 17:54:00,2023-05-23 17:54:05,"5,607s",PASSED
maximizeWindow(),Firefox 113.0,,,2023-05-23 17:54:05,2023-05-23 17:54:05,"0,021s",PASSED
"navigateToUrl(""https://demoqa.com/webtables"")",Firefox 113.0,,,2023-05-23 17:54:05,2023-05-23 17:54:08,"2,970s",PASSED
"click(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/button_Add""))",Firefox 113.0,,,2023-05-23 17:54:08,2023-05-23 17:54:10,"1,632s",PASSED
