Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suites_Curso_Katalon_parte1,Firefox 113.0,,,2023-05-23 14:42:52,2023-05-23 14:45:15,"2m - 22,486s",FAILED
,,,,,,,
Test Cases/CursoKatalon/AccionesconElRaton,Firefox 113.0,,,2023-05-23 14:42:54,2023-05-23 14:44:13,"1m - 18,152s",PASSED
Start listener action : executeRows,Firefox 113.0,,,2023-05-23 14:42:55,2023-05-23 14:42:55,"0,113s",PASSED
"openBrowser("""")",Firefox 113.0,,,2023-05-23 14:42:58,2023-05-23 14:43:25,"27,558s",PASSED
maximizeWindow(),Firefox 113.0,,,2023-05-23 14:43:25,2023-05-23 14:43:26,"1,104s",PASSED
"navigateToUrl(""https://pruebasqafenix.com/"")",Firefox 113.0,,,2023-05-23 14:43:26,2023-05-23 14:43:28,"1,850s",PASSED
"click(findTestObject(""AccionesConElRaton/AceptarCookie""))",Firefox 113.0,,,2023-05-23 14:43:28,2023-05-23 14:43:35,"7,062s",PASSED
"focus(findTestObject(""AccionesConElRaton/Productos""))",Firefox 113.0,,,2023-05-23 14:43:35,2023-05-23 14:43:36,"1,317s",PASSED
delay(3),Firefox 113.0,,,2023-05-23 14:43:36,2023-05-23 14:43:40,"3,291s",PASSED
"mouseOver(findTestObject(""AccionesConElRaton/Categorias""))",Firefox 113.0,,,2023-05-23 14:43:40,2023-05-23 14:43:43,"2,775s",PASSED
delay(3),Firefox 113.0,,,2023-05-23 14:43:43,2023-05-23 14:43:46,"3,021s",PASSED
"mouseOver(findTestObject(""AccionesConElRaton/Productos""))",Firefox 113.0,,,2023-05-23 14:43:46,2023-05-23 14:43:47,"1,030s",PASSED
"waitForElementVisible(findTestObject(""AccionesConElRaton/Productos en Stock""), 5)",Firefox 113.0,,,2023-05-23 14:43:47,2023-05-23 14:43:49,"2,172s",PASSED
"click(findTestObject(""AccionesConElRaton/Productos en Stock""))",Firefox 113.0,,,2023-05-23 14:43:49,2023-05-23 14:43:54,"5,462s",PASSED
waitForPageLoad(30),Firefox 113.0,,,2023-05-23 14:43:54,2023-05-23 14:43:55,"0,773s",PASSED
closeBrowser(),Firefox 113.0,,,2023-05-23 14:43:55,2023-05-23 14:44:13,"17,492s",PASSED
Start listener action : sampleAfterTestCase,Firefox 113.0,,,2023-05-23 14:44:13,2023-05-23 14:44:13,"0,018s",PASSED
Start listener action : addFailedTCToList,Firefox 113.0,,,2023-05-23 14:44:13,2023-05-23 14:44:13,"0,016s",PASSED
,,,,,,,
Test Cases/CursoKatalon/Drog_and_Drag,Firefox 113.0,,,2023-05-23 14:44:13,2023-05-23 14:45:15,"1m - 2,006s",FAILED
Start listener action : executeRows,Firefox 113.0,,,2023-05-23 14:44:13,2023-05-23 14:44:13,"0,002s",PASSED
"openBrowser("""")",Firefox 113.0,,,2023-05-23 14:44:20,2023-05-23 14:44:34,"14,213s",PASSED
"navigateToUrl(""https://www.globalsqa.com/demo-site/draganddrop/"")",Firefox 113.0,,,2023-05-23 14:44:34,2023-05-23 14:44:42,"8,357s",PASSED
maximizeWindow(),Firefox 113.0,,,2023-05-23 14:44:42,2023-05-23 14:44:42,"0,021s",PASSED
waitForPageLoad(10),Firefox 113.0,,,2023-05-23 14:44:42,2023-05-23 14:44:42,"0,047s",PASSED
"dragAndDropToObject(findTestObject(""Object Repository/Drog_and_Drag/Elemento1""), findTestObject(""Object Repository/Drog_and_Drag/Contenedor""))",Firefox 113.0,,,2023-05-23 14:44:42,2023-05-23 14:45:15,"32,651s",FAILED
Start listener action : sampleAfterTestCase,Firefox 113.0,,,2023-05-23 14:45:15,2023-05-23 14:45:15,"0,001s",PASSED
Start listener action : addFailedTCToList,Firefox 113.0,,,2023-05-23 14:45:15,2023-05-23 14:45:15,"0,001s",PASSED
